,_id,city,month,total,pos,neu,neg,sub,obj,pos_sub,pos_obj,neu_sub,neu_obj,neg_sub,neg_obj,pol_score,sub_score
0,adelaide_2021-01,adelaide,2021-01,21516,9774,7322,4420,8425,13091,5378,4396,1049,6273,1998,2422,0.1540527979178286,0.3575955739805599
1,adelaide_2021-02,adelaide,2021-02,16866,7782,5687,3397,6621,10245,4208,3574,850,4837,1563,1834,0.16118534329420137,0.3612723531950562
2,adelaide_2021-03,adelaide,2021-03,20145,9199,6745,4201,7910,12235,4969,4230,1055,5690,1886,2315,0.1526961479275254,0.3643225292491111
3,adelaide_2021-04,adelaide,2021-04,19960,8977,6797,4186,7736,12224,4739,4238,1101,5696,1896,2290,0.14800545591182368,0.3588826981826156
4,adelaide_2021-05,adelaide,2021-05,17450,8198,5846,3406,7048,10402,4467,3731,997,4849,1584,1822,0.16910958166189116,0.3696465100072409
5,adelaide_2021-06,adelaide,2021-06,16497,7690,5527,3280,6406,10091,4044,3646,857,4670,1505,1775,0.16522872643510936,0.357944070713167
6,adelaide_2021-07,adelaide,2021-07,22876,10286,7861,4729,8881,13995,5513,4773,1212,6649,2156,2573,0.15047121000174857,0.3573239947582376
7,adelaide_2021-08,adelaide,2021-08,21548,9693,7311,4544,8265,13283,5147,4546,1060,6251,2058,2486,0.14791693428624467,0.3538314613801021
8,adelaide_2021-09,adelaide,2021-09,20704,9568,7057,4079,8248,12456,5247,4321,1126,5931,1875,2204,0.1624057476816074,0.35909676503531707
9,adelaide_2021-10,adelaide,2021-10,22252,10656,7181,4415,8930,13322,5675,4981,1197,5984,2058,2357,0.17335850260650726,0.36467034838287643
10,adelaide_2021-11,adelaide,2021-11,21115,9685,7246,4184,8499,12616,5293,4392,1270,5976,1936,2248,0.15820303102060143,0.3646035364845836
11,adelaide_2021-12,adelaide,2021-12,24588,11872,7720,4996,10201,14387,6520,5352,1248,6472,2433,2563,0.17367668781519446,0.3729726316690709
12,adelaide_2022-01,adelaide,2022-01,19288,9095,6313,3880,7966,11322,5109,3986,983,5330,1874,2006,0.16960775611779344,0.3698792761219956
13,adelaide_2022-02,adelaide,2022-02,15136,7269,4898,2969,6137,8999,3997,3272,726,4172,1414,1555,0.1782228263742072,0.37015010253166103
14,adelaide_2022-03,adelaide,2022-03,19717,8898,6998,3821,7670,12047,4927,3971,1013,5985,1730,2091,0.15781640208956738,0.3512451294234316
15,adelaide_2022-04,adelaide,2022-04,17847,8133,6222,3492,7106,10741,4501,3632,967,5255,1638,1854,0.16254466857174873,0.3631638312083198
16,brisbane_2021-01,brisbane,2021-01,35685,16279,11903,7503,14136,21549,8767,7512,1859,10044,3510,3993,0.1477595039932745,0.3628277843507131
17,brisbane_2021-02,brisbane,2021-02,28748,13332,9547,5869,11292,17456,7009,6323,1491,8056,2792,3077,0.15804389870599694,0.36252550429988295
18,brisbane_2021-03,brisbane,2021-03,33939,15143,11439,7357,13237,20702,7931,7212,1793,9646,3513,3844,0.13890715401160905,0.3591796972290302
19,brisbane_2021-04,brisbane,2021-04,31976,14556,10794,6626,12644,19332,7836,6720,1645,9149,3163,3463,0.15233627095321486,0.36294026437727533
20,brisbane_2021-05,brisbane,2021-05,33096,15190,11147,6759,12952,20144,8078,7112,1679,9468,3195,3564,0.15515165276770604,0.3614804357213173
21,brisbane_2021-06,brisbane,2021-06,30156,13904,10182,6070,12045,18111,7559,6345,1571,8611,2915,3155,0.15574584825573684,0.363908865258781
