,_id,city,month,total,pos,neu,neg,sub,obj,pos_sub,pos_obj,neu_sub,neu_obj,neg_sub,neg_obj,pol_score,sub_score
0,adelaide_2021-01,adelaide,2021-01,523,222,121,180,176,347,104,118,15,106,57,123,0.06513288718929254,0.3636025436924098
1,adelaide_2021-02,adelaide,2021-02,486,220,114,152,170,316,97,123,18,96,55,97,0.08929238683127573,0.3849731999063274
2,adelaide_2021-03,adelaide,2021-03,390,180,92,118,149,241,88,92,11,81,50,68,0.10208487179487179,0.39704158718378807
3,adelaide_2021-04,adelaide,2021-04,490,199,115,176,162,328,85,114,21,94,56,120,0.040331428571428574,0.3867490853628609
4,adelaide_2021-05,adelaide,2021-05,493,222,123,148,196,297,110,112,26,97,60,88,0.0879448275862069,0.3952822148807008
5,adelaide_2021-06,adelaide,2021-06,682,261,201,220,269,413,128,133,43,158,98,122,0.04507346041055719,0.37967195833945405
6,adelaide_2021-07,adelaide,2021-07,1789,727,487,575,735,1054,370,357,114,373,251,324,0.05663426495248742,0.39668745252996407
7,adelaide_2021-08,adelaide,2021-08,1262,493,319,450,490,772,225,268,71,248,194,256,0.02536933438985737,0.3926196333135291
8,adelaide_2021-09,adelaide,2021-09,732,300,191,241,300,432,149,151,42,149,109,132,0.04938811475409836,0.39619953120758156
9,adelaide_2021-10,adelaide,2021-10,769,321,176,272,319,450,149,172,45,131,125,147,0.03706527958387517,0.4070269087099387
10,adelaide_2021-11,adelaide,2021-11,659,276,145,238,275,384,135,141,32,113,108,130,0.02405690440060699,0.4128123924483397
11,adelaide_2021-12,adelaide,2021-12,1116,463,238,415,494,622,224,239,60,178,210,205,0.01636612903225806,0.4145672333636524
12,adelaide_2022-01,adelaide,2022-01,835,353,196,286,366,469,185,168,39,157,142,144,0.037841437125748514,0.41061603040687733
13,adelaide_2022-02,adelaide,2022-02,211,86,38,87,89,122,43,43,8,30,38,49,0.005333175355450233,0.4126523842390463
14,adelaide_2022-03,adelaide,2022-03,307,129,73,105,133,174,68,61,14,59,51,54,0.04863778501628664,0.4014845378014003
15,adelaide_2022-04,adelaide,2022-04,238,116,41,81,96,142,51,65,11,30,34,47,0.08401764705882353,0.40883262496917955
16,brisbane_2021-01,brisbane,2021-01,1296,611,290,395,519,777,294,317,48,242,177,218,0.09844050925925929,0.39093515875641743
17,brisbane_2021-02,brisbane,2021-02,562,267,126,169,235,327,131,136,35,91,69,100,0.09988576512455516,0.402456173330379
18,brisbane_2021-03,brisbane,2021-03,917,401,241,275,357,560,200,201,43,198,114,161,0.07867579062159215,0.3742806644327325
19,brisbane_2021-04,brisbane,2021-04,774,307,206,261,296,478,149,158,50,156,97,164,0.04770516795865634,0.3800963922051885
20,brisbane_2021-05,brisbane,2021-05,862,385,202,275,332,530,171,214,46,156,115,160,0.08623874709976796,0.39394633935636175
21,brisbane_2021-06,brisbane,2021-06,1346,542,395,409,527,819,257,285,87,308,183,226,0.05130252600297177,0.3909918042480191
22,brisbane_2021-07,brisbane,2021-07,2354,986,637,731,878,1476,467,519,113,524,298,433,0.062267162276975346,0.3730414428726344
23,brisbane_2021-08,brisbane,2021-08,2957,1240,768,949,1220,1737,633,607,154,614,433,516,0.05381413594859656,0.3881229468758895
24,brisbane_2021-09,brisbane,2021-09,1635,649,390,596,640,995,285,364,68,322,287,309,0.017295412844036698,0.3841816994223679
