p_y11e_tot, p_y9e_tot, p_y10e_tot, lga_name_2016, lga_code_2016, p_y12e_tot
3968,2784,9899,"Albury (C)","10050",16963
1094,1352,4806,"Armidale Regional (A)","10130",12180
2033,2451,9527,"Ballina (A)","10250",14389
192,167,414,"Balranald (A)","10300",503
1795,2055,8606,"Bathurst Regional (A)","10470",13902
2404,2020,7647,"Bega Valley (A)","10550",10445
643,859,2868,"Bellingen (A)","10600",4171
878,677,1748,"Berrigan (A)","10650",2047
11285,12201,48237,"Blacktown (C)","10750",142391
269,422,1559,"Bland (A)","10800",1300
333,422,1802,"Blayney (A)","10850",2023
3178,2807,14412,"Blue Mountains (C)","10900",34246
140,195,657,"Bogan (A)","10950",623
1378,1211,5161,"Botany Bay (C)","11100",23986
138,188,459,"Bourke (A)","11150",569
87,162,346,"Brewarrina (A)","11200",306
285,395,1381,"Junee (A)","14300",1329
1387,2561,7546,"Kempsey (A)","14350",6290
1026,1617,4749,"Broken Hill (C)","11250",3635
967,1364,4604,"Hilltops (A)","13910",4645
3705,2880,15116,"Hornsby (A)","14000",78375
310,263,1130,"Hunters Hill (A)","14100",7552
4546,2992,13955,"Inner West (A)","14170",106941
743,1235,4073,"Inverell (A)","14200",4077
942,1028,4625,"Kiama (A)","14400",8556
2482,1336,6697,"Ku-ring-gai (A)","14500",71546
479,632,2429,"Kyogle (A)","14550",2218
293,431,1402,"Lachlan (A)","14600",1482
9451,14501,50664,"Lake Macquarie (C)","14650",61387
740,375,2144,"Lane Cove (A)","14700",22676
543,709,2861,"Leeton (A)","14750",2403
2079,2357,9936,"Lismore (C)","14850",14170
1032,1548,5748,"Lithgow (C)","14870",4888
6784,7101,27652,"Liverpool (C)","14900",81128
389,597,2005,"Liverpool Plains (A)","14920",1765
163,211,810,"Lockhart (A)","14950",752
3998,5159,19427,"Maitland (C)","15050",22310
4473,8368,25665,"Mid-Coast (A)","15240",22116
1211,1577,5860,"Mid-Western Regional (A)","15270",6250
673,856,2732,"Moree Plains (A)","15300",3353
706,292,1613,"Mosman (A)","15350",17720
1499,933,2072,"Murray River (A)","15520",3023
245,263,839,"Murrumbidgee (A)","15560",904
917,1169,4127,"Muswellbrook (A)","15650",3624
972,1692,5127,"Nambucca (A)","15700",4794
627,894,3058,"Narrabri (A)","15750",3223
307,458,1398,"Narrandera (A)","15800",1275
301,465,1532,"Narromine (A)","15850",1598
6410,8298,30290,"Newcastle (C)","15900",64900
1590,569,3625,"North Sydney (A)","15950",46535
8192,5656,30849,"Northern Beaches (A)","15990",131072
232,331,1363,"Oberon (A)","16100",1364
1724,2282,8749,"Orange (C)","16150",12993
708,980,3602,"Parkes (A)","16200",3588
5290,5143,20793,"Parramatta (C)","16260",125072
6601,7832,29670,"Campbelltown (C) (NSW)","11500",57705
2088,1923,8430,"Canada Bay (A)","11520",50108
9802,11476,42076,"Canterbury-Bankstown (A)","11570",151176
156,176,614,"Carrathool (A)","11600",737
15917,20765,78496,"Central Coast (C) (NSW)","11650",106672
730,771,2722,"Burwood (A)","11300",22333
1587,976,5128,"Byron (A)","11350",13240
584,796,3146,"Cabonne (A)","11400",3852
3364,3394,16194,"Camden (A)","11450",27831
104,170,366,"Central Darling (A)","11700",333
2968,4678,15010,"Cessnock (C)","11720",11990
2532,4059,14088,"Clarence Valley (A)","11730",12629
281,289,1090,"Cobar (A)","11750",1055
3845,4521,16907,"Coffs Harbour (C)","11800",22890
197,349,1076,"Coolamon (A)","12000",988
198,281,809,"Coonamble (A)","12150",849
586,1076,3398,"Cowra (A)","12350",2886
5895,6730,23942,"Cumberland (A)","12380",97509
430,620,2559,"Dungog (A)","12700",2307
704,664,1825,"Edward River (A)","12730",2327
2050,2715,9331,"Eurobodalla (A)","12750",11487
6394,8365,24142,"Fairfield (C)","12850",76178
1267,900,2692,"Federation (A)","12870",3002
489,673,2276,"Forbes (A)","12900",2408
3836,4221,15977,"Georges River (A)","12930",78893
195,373,1099,"Gilgandra (A)","12950",934
384,663,2235,"Glen Innes Severn (A)","13010",2096
1381,1934,7133,"Goulburn Mulwaree (A)","13310",8425
718,711,2356,"Greater Hume Shire (A)","13340",2685
1208,1371,5706,"Griffith (C)","13450",6830
560,854,2975,"Gundagai (A)","13510",2800
581,842,3099,"Gunnedah (A)","13550",3058
233,383,1261,"Gwydir (A)","13660",1271
3164,3642,16371,"Hawkesbury (C)","13800",20236
206,205,600,"Hay (A)","13850",760
8744,9880,43396,"Penrith (C)","16350",65992
4232,5612,19872,"Port Macquarie-Hastings (A)","16380",23412
3738,5206,18346,"Port Stephens (A)","16400",19310
2258,1868,8657,"Queanbeyan-Palerang Regional (A)","16490",24585
3558,2717,11485,"Randwick (C)","16550",82515
1159,1884,6226,"Richmond Valley (A)","16610",4830
3201,2771,12079,"Rockdale (C)","16650",56665
2567,2488,10251,"Ryde (C)","16700",69082
3518,4458,17981,"Shellharbour (C)","16900",18796
4985,7883,25890,"Shoalhaven (C)","16950",27977
1376,1396,5938,"Singleton (A)","17000",6088
1002,1002,4171,"Snowy Monaro Regional (A)","17040",7151
866,1040,3559,"Snowy Valleys (A)","17080",3508
4393,3562,19419,"The Hills Shire (A)","17420",81324
5182,5383,21994,"Tweed (A)","17550",28796
638,943,3438,"Upper Hunter Shire (A)","17620",3681
372,514,1848,"Upper Lachlan Shire (A)","17640",2268
248,346,1400,"Uralla (A)","17650",1918
3158,3369,13184,"Wagga Wagga (C)","17750",21523
133,238,726,"Walcha (A)","17850",865
344,483,1279,"Walgett (A)","17900",1409
104,188,596,"Warren (A)","17950",772
415,753,2331,"Warrumbungle Shire (A)","18020",2254
1529,712,3825,"Waverley (A)","18050",40862
174,309,957,"Weddin (A)","18100",922
777,508,1220,"Wentworth (A)","18200",1568
2319,2918,11447,"Western Plains Regional (A)","18230",14500
1463,918,4034,"Willoughby (C)","18250",45921
2249,2355,10266,"Wingecarribee (A)","18350",18051
2230,2610,12439,"Wollondilly (A)","18400",14492
8487,10677,41941,"Wollongong (C)","18450",76785
1150,492,2511,"Woollahra (A)","18500",34725
701,531,2667,"Yass Valley (A)","18710",6620
83,52,228,"Unincorporated NSW","19399",347
1621,657,1930,"Alpine (S)","20110",3934
1519,753,1625,"Ararat (RC)","20260",3129
11142,5552,13150,"Ballarat (C)","20570",37010
9693,3897,9807,"Banyule (C)","20660",60566
4136,2320,5365,"Bass Coast (S)","20740",9973
6042,3024,7564,"Baw Baw (S)","20830",14862
6426,1693,5558,"Bayside (C)","20910",53401
