lga_name_2016, lga_code_2016, p_y8b_tot, p_dngts_tot
"Albury (C)","10050",1891,287
"Armidale Regional (A)","10130",1078,72
"Ballina (A)","10250",1544,88
"Balranald (A)","10300",180,15
"Bathurst Regional (A)","10470",1304,98
"Bega Valley (A)","10550",1454,56
"Bellingen (A)","10600",483,25
"Berrigan (A)","10650",523,25
"Blacktown (C)","10750",12005,2998
"Bland (A)","10800",301,7
"Blayney (A)","10850",320,8
"Blue Mountains (C)","10900",1307,138
"Bogan (A)","10950",135,3
"Botany Bay (C)","11100",1841,555
"Bourke (A)","11150",127,16
"Brewarrina (A)","11200",142,7
"Broken Hill (C)","11250",1316,38
"Hilltops (A)","13910",1028,83
"Hornsby (A)","14000",1945,655
"Hunters Hill (A)","14100",226,52
"Inner West (A)","14170",6025,2006
"Inverell (A)","14200",957,42
"Junee (A)","14300",253,14
"Kempsey (A)","14350",1773,79
"Kiama (A)","14400",542,36
"Ku-ring-gai (A)","14500",851,333
"Kyogle (A)","14550",532,24
"Lachlan (A)","14600",368,32
"Lake Macquarie (C)","14650",7093,444
"Lane Cove (A)","14700",299,102
"Leeton (A)","14750",599,41
"Lismore (C)","14850",1685,107
"Lithgow (C)","14870",1065,49
"Liverpool (C)","14900",9490,4124
"Liverpool Plains (A)","14920",440,25
"Lockhart (A)","14950",163,4
"Maitland (C)","15050",2529,153
"Mid-Coast (A)","15240",4970,207
"Mid-Western Regional (A)","15270",1140,59
"Moree Plains (A)","15300",666,55
"Mosman (A)","15350",140,45
"Murray River (A)","15520",717,26
"Murrumbidgee (A)","15560",247,9
"Muswellbrook (A)","15650",686,38
"Nambucca (A)","15700",1031,48
"Narrabri (A)","15750",664,34
"Narrandera (A)","15800",345,30
"Narromine (A)","15850",331,18
"Newcastle (C)","15900",4710,576
"North Sydney (A)","15950",391,127
"Northern Beaches (A)","15990",3664,747
"Oberon (A)","16100",237,13
"Orange (C)","16150",1655,146
"Parkes (A)","16200",738,34
"Parramatta (C)","16260",4698,2226
"Cowra (A)","12350",813,39
"Cumberland (A)","12380",11382,6485
"Dungog (A)","12700",394,13
"Edward River (A)","12730",459,41
"Eurobodalla (A)","12750",1742,77
"Burwood (A)","11300",1535,655
"Byron (A)","11350",593,58
"Cabonne (A)","11400",618,31
"Camden (A)","11450",1827,264
"Campbelltown (C) (NSW)","11500",5266,1161
"Canada Bay (A)","11520",2919,815
