p_1750_1999_tot, p_1250_1499_tot, p_tot_tot, p_3000_more_tot, p_2000_2999_tot, p_1500_1749_tot, lga_name_2016, lga_code_2016, p_1000_1249_tot
1146,2332,41468,673,1363,1811,"Albury (C)","10050",3551
613,1051,24115,395,888,898,"Armidale Regional (A)","10130",1756
966,1541,34860,719,1114,1312,"Ballina (A)","10250",2663
23,82,1801,28,52,46,"Balranald (A)","10300",150
1150,1843,33181,499,1372,1565,"Bathurst Regional (A)","10470",2645
582,1199,27994,307,602,851,"Bega Valley (A)","10550",2072
246,404,10465,110,254,303,"Bellingen (A)","10600",701
139,272,7018,88,150,208,"Berrigan (A)","10650",477
8654,16708,260306,3481,11173,12848,"Blacktown (C)","10750",25290
108,210,4725,107,154,183,"Bland (A)","10800",338
194,264,5751,101,244,269,"Blayney (A)","10850",475
2790,3781,62830,1570,3840,3462,"Blue Mountains (C)","10900",5126
68,108,2140,57,84,106,"Bogan (A)","10950",177
1509,2546,38732,992,2250,2037,"Botany Bay (C)","11100",3512
66,97,2016,26,67,89,"Bourke (A)","11150",157
24,43,1274,6,29,40,"Brewarrina (A)","11200",65
723,1439,35430,364,820,1093,"Lismore (C)","14850",2626
394,718,17496,322,652,527,"Lithgow (C)","14870",1133
4574,9012,158031,1979,5260,6862,"Liverpool (C)","14900",13811
133,242,6243,105,158,205,"Liverpool Plains (A)","14920",432
477,657,14767,182,605,542,"Broken Hill (C)","11250",975
299,545,14883,222,357,454,"Hilltops (A)","13910",1026
5321,7192,114796,6918,10189,6679,"Hornsby (A)","14000",9215
471,590,11350,1701,938,615,"Hunters Hill (A)","14100",735
7651,10671,154128,11563,14388,9935,"Inner West (A)","14170",13316
257,441,13158,134,233,324,"Inverell (A)","14200",900
84,216,5173,61,133,160,"Junee (A)","14300",324
362,700,23915,198,354,458,"Kempsey (A)","14350",1418
702,1054,17852,542,1069,952,"Kiama (A)","14400",1456
4103,5186,94189,12942,8840,5078,"Ku-ring-gai (A)","14500",6525
95,205,7473,74,117,167,"Kyogle (A)","14550",431
99,188,4846,85,114,157,"Lachlan (A)","14600",354
5179,8505,161262,3371,7096,7287,"Lake Macquarie (C)","14650",13546
1631,2090,29376,3742,3312,1939,"Lane Cove (A)","14700",2457
228,427,8868,88,218,294,"Leeton (A)","14750",740
51,105,2477,39,78,92,"Lockhart (A)","14950",196
2087,3355,60404,1266,3137,2846,"Maitland (C)","15050",4996
1294,2547,76370,816,1393,1781,"Mid-Coast (A)","15240",4484
525,731,19175,476,997,601,"Mid-Western Regional (A)","15270",1207
259,549,10270,256,309,427,"Moree Plains (A)","15300",859
1075,1376,23465,4556,2446,1458,"Mosman (A)","15350",1600
221,432,9683,144,228,271,"Murray River (A)","15520",753
70,150,3051,53,68,119,"Murrumbidgee (A)","15560",308
430,594,12458,317,959,514,"Muswellbrook (A)","15650",813
254,497,16040,135,257,360,"Nambucca (A)","15700",917
301,533,10296,200,364,418,"Narrabri (A)","15750",814
84,205,4697,50,85,175,"Narrandera (A)","15800",359
140,233,5069,68,127,183,"Narromine (A)","15850",387
4561,7581,129212,3645,6831,6496,"Newcastle (C)","15900",10854
3770,4500,59115,8363,8049,4635,"North Sydney (A)","15950",4935
8856,13344,203023,18327,16834,12240,"Northern Beaches (A)","15990",17628
122,227,4375,56,124,180,"Oberon (A)","16100",347
1181,1778,31801,672,1557,1531,"Orange (C)","16150",2699
335,562,11662,147,399,418,"Parkes (A)","16200",809
7932,11989,184550,4954,12176,10609,"Parramatta (C)","16260",16430
973,1595,32004,846,1581,1299,"Burwood (A)","11300",2521
566,1112,26265,601,761,835,"Byron (A)","11350",1874
312,522,10499,261,464,479,"Cabonne (A)","11400",823
2907,4670,59521,1325,3803,3932,"Camden (A)","11450",6224
3292,7455,123148,1132,3781,5492,"Campbelltown (C) (NSW)","11500",11667
3513,4731,73728,5341,6513,4616,"Canada Bay (A)","11520",6244
6594,13338,275266,3490,8597,9913,"Canterbury-Bankstown (A)","11570",21325
44,136,2185,52,61,82,"Carrathool (A)","11600",214
7987,13717,267307,4942,10253,11450,"Central Coast (C) (NSW)","11650",21490
32,44,1485,25,29,36,"Central Darling (A)","11700",80
1056,1870,44189,693,1754,1468,"Cessnock (C)","11720",3129
738,1363,42364,397,792,1093,"Clarence Valley (A)","11730",2471
149,165,3623,124,316,199,"Cobar (A)","11750",236
1401,2694,59595,795,1578,1981,"Coffs Harbour (C)","11800",4313
95,134,3431,80,92,137,"Coolamon (A)","12000",287
48,130,3124,56,50,85,"Coonamble (A)","12150",189
196,371,10296,130,196,297,"Cowra (A)","12350",663
3971,8407,171707,1683,5078,6196,"Cumberland (A)","12380",13570
227,341,7315,162,289,274,"Dungog (A)","12700",558
150,324,7276,97,213,266,"Edward River (A)","12730",582
536,1200,31914,360,613,780,"Eurobodalla (A)","12750",2136
2560,6580,160880,1050,2767,4407,"Fairfield (C)","12850",11282
194,491,10187,103,213,336,"Federation (A)","12870",818
162,329,7636,94,201,268,"Forbes (A)","12900",577
4152,7030,122216,3636,6280,5887,"Georges River (A)","12930",10484
84,133,3440,50,63,103,"Gilgandra (A)","12950",215
102,206,7322,60,129,161,"Glen Innes Severn (A)","13010",424
756,1204,24238,306,898,1034,"Goulburn Mulwaree (A)","13310",1995
207,433,8116,146,207,295,"Greater Hume Shire (A)","13340",668
491,1023,20274,318,592,757,"Griffith (C)","13450",1697
193,354,9126,150,226,247,"Gundagai (A)","13510",646
299,475,9686,247,467,385,"Gunnedah (A)","13550",686
79,154,4280,51,80,87,"Gwydir (A)","13660",292
1984,3478,51718,998,2532,2922,"Hawkesbury (C)","13800",5038
46,116,2431,36,67,78,"Hay (A)","13850",194
5619,10781,154775,2176,6531,8465,"Penrith (C)","16350",16142
1565,2756,65441,983,1779,2156,"Port Macquarie-Hastings (A)","16380",4583
1484,2752,57039,919,2028,2334,"Port Stephens (A)","16400",4412
2188,3570,45061,1787,4018,3245,"Queanbeyan-Palerang Regional (A)","16490",4357
5420,7645,119698,7844,9286,7173,"Randwick (C)","16550",9651
276,606,18441,137,249,407,"Richmond Valley (A)","16610",1234
2959,5448,91982,1981,4392,4458,"Rockdale (C)","16650",8270
4234,6211,97335,4267,7075,5585,"Ryde (C)","16700",8608
1738,2796,54854,726,2271,2360,"Shellharbour (C)","16900",4347
1858,3337,83332,1073,2086,2652,"Shoalhaven (C)","16950",5621
720,876,18127,656,1563,818,"Singleton (A)","17000",1240
491,932,16754,312,623,717,"Snowy Monaro Regional (A)","17040",1420
295,563,11789,147,378,489,"Snowy Valleys (A)","17080",926
5995,8157,123621,7575,11169,7838,"The Hills Shire (A)","17420",10486
1672,3180,76052,1027,1853,2490,"Tweed (A)","17550",5594
312,462,11207,270,660,413,"Upper Hunter Shire (A)","17620",819
172,299,6346,128,232,277,"Upper Lachlan Shire (A)","17640",498
127,206,4888,53,127,184,"Uralla (A)","17650",364
1734,3091,49690,901,1935,2327,"Wagga Wagga (C)","17750",4624
62,105,2556,46,64,88,"Walcha (A)","17850",198
93,161,4885,67,99,115,"Walgett (A)","17900",287
60,112,2153,46,54,76,"Warren (A)","17950",189
146,214,7699,101,171,186,"Warrumbungle Shire (A)","18020",441
2792,3810,56111,6572,5662,3758,"Waverley (A)","18050",4595
54,106,3051,49,56,89,"Weddin (A)","18100",216
158,235,5519,98,130,173,"Wentworth (A)","18200",389
1249,2011,39702,611,1472,1681,"Western Plains Regional (A)","18230",3347
2742,3534,59899,7130,5698,3480,"Willoughby (C)","18250",4394
1289,1966,39473,1280,1777,1724,"Wingecarribee (A)","18350",3189
1620,2467,37840,910,2156,2138,"Wollondilly (A)","18400",3542
5870,8909,167073,3821,8239,7781,"Wollongong (C)","18450",12784
2412,2970,45764,8360,4934,3025,"Woollahra (A)","18500",3349
595,859,12744,565,1104,878,"Yass Valley (A)","18710",1109
20,51,869,26,33,27,"Unincorporated NSW","19399",92
200,491,10384,123,235,360,"Alpine (S)","20110",773
201,399,9798,110,192,303,"Ararat (RC)","20260",636
2214,4363,82219,1490,2563,3352,"Ballarat (C)","20570",6716
4153,6521,99850,3818,6227,5876,"Banyule (C)","20660",8572
481,1015,27459,376,563,836,"Bass Coast (S)","20740",1816
1057,1968,39188,687,1297,1501,"Baw Baw (S)","20830",3043
3258,4410,78669,9312,6614,4405,"Bayside (C)","20910",5652
225,504,11686,143,237,360,"Benalla (RC)","21010",836
5789,8232,138430,14546,11300,7949,"Boroondara (C)","21110",10467
3015,7313,158457,1266,3445,4997,"Brimbank (C)","21180",12443
71,173,5206,47,59,144,"Buloke (S)","21270",348
620,1318,30424,347,643,1022,"Campaspe (S)","21370",2446
2150,4652,72402,1061,2593,3460,"Cardinia (S)","21450",7179
6146,13974,231449,2810,7300,9887,"Casey (C)","21610",22371
103,280,10982,64,117,189,"Central Goldfields (S)","21670",573
340,811,17277,217,332,512,"Colac-Otway (S)","21750",1450
239,588,13125,245,274,440,"Corangamite (S)","21830",1006
4145,7340,123281,3400,6191,6210,"Darebin (C)","21890",10277
592,1422,37892,440,681,1047,"East Gippsland (S)","22110",2630
3241,6710,109114,1519,3744,5028,"Frankston (C)","22170",10293
113,297,8870,96,128,215,"Gannawarra (S)","22250",606
1121,2546,51131,662,1272,1836,"Greater Shepparton (C)","22830",4257
246,531,12934,207,339,435,"Hepburn (S)","22910",868
90,184,4859,62,83,133,"Hindmarsh (S)","22980",326
2791,4449,72429,2668,4584,3953,"Hobsons Bay (C)","23110",6190
369,822,15913,226,411,556,"Horsham (RC)","23190",1341
3473,8027,153462,1550,4057,5602,"Hume (C)","23270",12929
392,763,13104,175,399,596,"Indigo (S)","23350",1192
4803,7970,124594,3586,7016,6897,"Kingston (C) (Vic.)","23430",10965
4287,8074,127047,2308,5647,6489,"Knox (C)","23670",11920
1633,2651,59998,1206,2375,2167,"Latrobe (C) (Vic.)","23810",4021
80,198,6322,49,72,134,"Loddon (S)","23940",394
1307,2137,36659,1349,2204,2017,"Macedon Ranges (S)","24130",2996
3432,5372,97529,4389,5553,4852,"Manningham (C)","24210",7418
163,352,7049,93,187,244,"Mansfield (S)","24250",577
2615,4315,69093,2006,4097,3718,"Maribyrnong (C)","24330",5952
3371,5947,89771,2024,4687,4953,"Maroondah (C)","24410",8349
4513,7337,127232,5921,7970,6409,"Melbourne (C)","24600",9133
3085,6604,102097,1218,3579,4795,"Melton (C)","24650",9850
865,2006,43642,505,868,1493,"Mildura (RC)","24780",3271
957,2010,32439,404,1076,1446,"Mitchell (S)","24850",2864
468,1004,23981,287,411,735,"Moira (S)","24900",1769
