p_75_84_prvided_unpaid_assist, p_35_44_prvided_unpaid_assist, p_65_74_prvided_unpaid_assist, p_55_64_prvided_unpaid_assist, p_45_54_prvided_unpaid_assist, p_20_24_prvided_unpaid_assist, p_15_19_prvided_unpaid_assist, p_85_ov_prvided_unpaid_assist, lga_name_2016, lga_code_2016, p_tot_prvided_unpaid_assist, p_25_34_prvided_unpaid_assist
307,787,657,1126,1079,224,167,62,"Albury (C)","10050",4997,591
165,406,364,641,611,132,119,35,"Armidale Regional (A)","10130",2723,245
323,574,727,1231,934,98,103,101,"Ballina (A)","10250",4448,357
12,43,23,44,48,9,7,0,"Balranald (A)","10300",200,20
197,629,528,872,836,176,177,40,"Bathurst Regional (A)","10470",3925,470
258,401,572,1038,762,75,95,57,"Bega Valley (A)","10550",3516,256
83,181,243,411,314,36,34,29,"Bellingen (A)","10600",1428,105
65,104,149,217,149,23,19,18,"Berrigan (A)","10650",834,89
895,6483,2709,5065,6088,1595,1267,176,"Blacktown (C)","10750",29132,4863
49,95,89,141,99,27,22,8,"Bland (A)","10800",581,47
51,96,101,187,193,12,21,6,"Blayney (A)","10850",725,71
423,1322,1417,2314,2034,234,270,92,"Blue Mountains (C)","10900",8719,610
14,42,27,32,43,5,6,3,"Bogan (A)","10950",204,18
225,795,399,695,948,174,108,48,"Botany Bay (C)","11100",3911,525
8,34,14,27,62,3,5,0,"Bourke (A)","11150",186,26
3,17,8,27,45,6,8,3,"Brewarrina (A)","11200",130,20
112,272,269,526,355,63,52,32,"Broken Hill (C)","11250",1915,235
127,282,319,440,395,64,51,17,"Hilltops (A)","13910",1885,189
880,2148,1888,3368,3262,446,409,200,"Hornsby (A)","14000",13683,1083
101,163,206,338,338,51,59,40,"Hunters Hill (A)","14100",1389,90
743,2933,1741,3294,3932,572,309,159,"Inner West (A)","14170",15582,1905
116,262,255,407,335,73,54,27,"Inverell (A)","14200",1709,179
23,88,76,132,121,27,28,3,"Junee (A)","14300",568,62
225,460,570,833,685,124,103,42,"Kempsey (A)","14350",3370,325
144,286,421,747,464,60,58,52,"Kiama (A)","14400",2379,141
890,1606,1798,2740,2808,352,395,316,"Ku-ring-gai (A)","14500",11550,643
49,130,163,315,223,42,34,8,"Kyogle (A)","14550",1050,91
38,75,77,135,100,20,11,8,"Lachlan (A)","14600",543,79
1444,3144,3577,5509,4658,720,583,323,"Lake Macquarie (C)","14650",21981,2012
169,531,440,721,727,85,97,43,"Lane Cove (A)","14700",3124,312
65,149,131,235,245,37,48,16,"Leeton (A)","14750",1035,108
247,740,609,1272,1075,148,131,48,"Lismore (C)","14850",4683,420
146,323,292,559,493,78,51,25,"Lithgow (C)","14870",2165,206
657,4080,1613,3200,4205,1153,828,108,"Liverpool (C)","14900",18854,3013
59,119,117,188,154,22,24,12,"Liverpool Plains (A)","14920",771,65
14,41,42,91,71,10,8,6,"Lockhart (A)","14950",312,25
