secondary_tot_p, uni_other_tert_instit_tot_p, os_visitors_p, tec_furt_educ_inst_tot_p, pre_school_p, lga_code_2016, lga_name16, other_type_educ_instit_tot_p
3230,1796,232,1221,860,"10050","Albury (C)",358
2151,3552,326,562,492,"10130","Armidale Regional (A)",117
2688,995,190,762,698,"10250","Ballina (A)",181
126,22,18,25,39,"10300","Balranald (A)",8
2950,2330,98,897,764,"10470","Bathurst Regional (A)",206
1866,443,128,443,476,"10550","Bega Valley (A)",123
814,271,37,211,232,"10600","Bellingen (A)",53
432,90,34,127,152,"10650","Berrigan (A)",29
24375,15514,3790,6806,6382,"10750","Blacktown (C)",3078
305,54,11,93,109,"10800","Bland (A)",18
524,137,9,141,152,"10850","Blayney (A)",27
5184,3424,931,1576,1442,"10900","Blue Mountains (C)",492
136,38,3,49,55,"10950","Bogan (A)",4
2439,3504,1259,1024,736,"11100","Botany Bay (C)",640
86,37,9,34,60,"11150","Bourke (A)",6
78,21,7,28,36,"11200","Brewarrina (A)",9
1192,112,38,178,197,"14750","Leeton (A)",34
2853,1859,247,947,719,"14850","Lismore (C)",220
1134,334,45,453,323,"14870","Lithgow (C)",92
16016,9437,1467,4114,3482,"14900","Liverpool (C)",1882
980,266,60,421,300,"11250","Broken Hill (C)",90
1168,227,53,342,337,"13910","Hilltops (A)",56
11186,8541,1853,2517,2765,"14000","Hornsby (A)",904
1435,796,120,131,263,"14100","Hunters Hill (A)",84
7665,13760,2236,3209,2725,"14170","Inner West (A)",1972
1036,212,78,298,309,"14200","Inverell (A)",120
290,89,16,106,103,"14300","Junee (A)",27
1639,342,121,455,494,"14350","Kempsey (A)",114
1345,777,107,358,412,"14400","Kiama (A)",128
11128,8053,2033,1327,2302,"14500","Ku-ring-gai (A)",771
531,121,40,166,136,"14550","Kyogle (A)",36
280,58,17,62,142,"14600","Lachlan (A)",16
12660,6580,534,3621,3834,"14650","Lake Macquarie (C)",1003
2478,2385,605,542,729,"14700","Lane Cove (A)",315
448,83,20,106,153,"14920","Liverpool Plains (A)",22
177,32,7,40,58,"14950","Lockhart (A)",13
5207,2376,190,1729,1683,"15050","Maitland (C)",462
4976,1096,285,1609,1447,"15240","Mid-Coast (A)",364
1327,313,65,468,417,"15270","Mid-Western Regional (A)",91
576,171,85,190,288,"15300","Moree Plains (A)",35
1876,1557,398,263,511,"15350","Mosman (A)",219
673,130,32,158,204,"15520","Murray River (A)",44
217,41,34,63,68,"15560","Murrumbidgee (A)",6
1032,219,79,357,361,"15650","Muswellbrook (A)",61
1095,255,52,348,298,"15700","Nambucca (A)",75
685,153,31,186,249,"15750","Narrabri (A)",48
292,62,32,108,108,"15800","Narrandera (A)",13
375,78,10,96,127,"15850","Narromine (A)",13
8553,12617,1249,3578,2820,"15900","Newcastle (C)",855
2124,4112,1274,913,965,"15950","North Sydney (A)",616
17303,10653,2749,4217,5233,"15990","Northern Beaches (A)",1925
331,72,10,86,70,"16100","Oberon (A)",16
2728,1360,116,1061,754,"16150","Orange (C)",204
949,208,43,282,262,"16200","Parkes (A)",61
12696,15649,5195,4207,3864,"16260","Parramatta (C)",2395
13224,6902,977,4091,3978,"16350","Penrith (C)",1254
2023,4715,927,901,393,"11300","Burwood (A)",703
1752,841,790,535,484,"11350","Byron (A)",252
987,207,44,250,271,"11400","Cabonne (A)",35
5832,2751,313,1455,1822,"11450","Camden (A)",415
10816,6326,1181,3143,2758,"11500","Campbelltown (C) (NSW)",1291
4235,6631,1476,1392,1371,"11520","Canada Bay (A)",918
23467,19572,3445,7136,5664,"11570","Canterbury-Bankstown (A)",4030
118,15,68,31,55,"11600","Carrathool (A)",6
20665,10096,1177,6257,6477,"11650","Central Coast (C) (NSW)",1937
73,9,10,21,36,"11700","Central Darling (A)",14
3339,944,174,995,1069,"11720","Cessnock (C)",282
2930,686,191,1086,779,"11730","Clarence Valley (A)",211
247,64,12,90,83,"11750","Cobar (A)",23
4572,1664,692,1717,1376,"11800","Coffs Harbour (C)",478
306,83,3,59,70,"12000","Coolamon (A)",10
171,36,5,53,75,"12150","Coonamble (A)",3
685,140,41,250,200,"12350","Cowra (A)",48
13161,13188,2761,4888,3534,"12380","Cumberland (A)",3122
599,163,12,141,190,"12700","Dungog (A)",37
501,89,67,141,134,"12730","Edward River (A)",33
1946,437,138,531,455,"12750","Eurobodalla (A)",159
14949,9873,1243,4642,2560,"12850","Fairfield (C)",2842
651,141,23,216,198,"12870","Federation (A)",34
664,107,24,160,215,"12900","Forbes (A)",24
9263,11361,2630,2750,2241,"12930","Georges River (A)",1748
212,43,4,49,105,"12950","Gilgandra (A)",13
454,105,12,151,124,"13010","Glen Innes Severn (A)",32
1716,598,136,620,531,"13310","Goulburn Mulwaree (A)",198
835,142,17,180,226,"13340","Greater Hume Shire (A)",44
1591,309,370,459,493,"13450","Griffith (C)",148
602,129,45,192,185,"13510","Gundagai (A)",41
668,162,38,222,300,"13550","Gunnedah (A)",52
234,36,45,52,99,"13660","Gwydir (A)",17
4423,2131,209,1380,1313,"13800","Hawkesbury (C)",319
164,30,19,29,44,"13850","Hay (A)",6
4933,1572,341,1554,1382,"16380","Port Macquarie-Hastings (A)",416
4241,1548,262,1197,1224,"16400","Port Stephens (A)",348
3738,2247,267,1187,843,"16490","Queanbeyan-Palerang Regional (A)",371
6398,18467,3508,2250,2194,"16550","Randwick (C)",1427
1440,333,40,462,435,"16610","Richmond Valley (A)",89
5509,7722,2101,2397,1596,"16650","Rockdale (C)",1728
6133,11350,2951,2524,1895,"16700","Ryde (C)",1084
