num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, lga_code_2016, num_mvs_per_dweling_tot, lga_name16, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
7047,7433,2048,"10050",18977,"Albury (C)",1562,886
3554,3903,1182,"10130",10031,"Armidale Regional (A)",784,614
6248,6261,1709,"10250",15921,"Ballina (A)",917,787
302,241,124,"10300",810,"Balranald (A)",69,73
5245,4795,1934,"10470",13982,"Bathurst Regional (A)",926,1076
5097,5101,1549,"10550",12974,"Bega Valley (A)",599,623
1856,1990,550,"10600",4882,"Bellingen (A)",236,247
1145,1254,402,"10650",3163,"Berrigan (A)",164,204
38481,32959,12869,"10750",97805,"Blacktown (C)",7174,6320
769,714,341,"10800",2115,"Bland (A)",111,181
985,762,428,"10850",2525,"Blayney (A)",98,257
10490,10818,3245,"10900",28192,"Blue Mountains (C)",1900,1735
338,314,133,"10950",939,"Bogan (A)",80,76
4712,7070,1126,"11100",15911,"Botany Bay (C)",2554,455
264,358,74,"11150",856,"Bourke (A)",112,51
114,208,51,"11200",543,"Brewarrina (A)",132,33
2289,3043,642,"11250",6938,"Broken Hill (C)",706,254
2515,2358,999,"13910",6808,"Hilltops (A)",394,536
17973,16669,5555,"14000",46258,"Hornsby (A)",3005,3056
1859,1421,507,"14100",4473,"Hunters Hill (A)",376,309
16752,33915,3132,"14170",67109,"Inner West (A)",12138,1177
2139,2130,764,"14200",5896,"Inverell (A)",422,438
680,584,289,"14300",1819,"Junee (A)",104,168
3730,4099,1286,"14350",10427,"Kempsey (A)",681,631
3244,2489,1041,"14400",7681,"Kiama (A)",331,568
16919,12388,5000,"14500",38048,"Ku-ring-gai (A)",1574,2158
1268,1393,397,"14550",3430,"Kyogle (A)",172,205
772,737,297,"14600",2105,"Lachlan (A)",131,171
28103,24300,9448,"14650",71052,"Lake Macquarie (C)",4246,4960
4515,6319,960,"14700",13349,"Lane Cove (A)",1186,375
1452,1206,539,"14750",3708,"Leeton (A)",199,309
5732,6075,1917,"14850",15692,"Lismore (C)",1073,901
2568,2733,954,"14870",7549,"Lithgow (C)",714,574
21542,17020,8467,"14900",56682,"Liverpool (C)",4589,5063
981,1003,414,"14920",2814,"Liverpool Plains (A)",184,234
423,338,161,"14950",1089,"Lockhart (A)",36,131
11016,8648,3622,"15050",26605,"Maitland (C)",1395,1928
12653,14834,3855,"15240",35280,"Mid-Coast (A)",2176,1758
3378,2796,1220,"15270",8461,"Mid-Western Regional (A)",438,632
1612,1533,567,"15300",4420,"Moree Plains (A)",379,327
3505,5092,829,"15350",10899,"Mosman (A)",1142,331
1794,1484,570,"15520",4399,"Murray River (A)",213,328
491,425,204,"15560",1315,"Murrumbidgee (A)",56,144
2188,1946,690,"15650",5572,"Muswellbrook (A)",394,362
2624,3376,739,"15700",7592,"Nambucca (A)",501,359
1662,1472,698,"15750",4521,"Narrabri (A)",271,418
739,724,272,"15800",2041,"Narrandera (A)",142,162
786,720,362,"15850",2211,"Narromine (A)",146,191
21274,22833,6028,"15900",58416,"Newcastle (C)",5628,2659
6569,16555,997,"15950",29887,"North Sydney (A)",5399,360
34186,31111,9892,"15990",86075,"Northern Beaches (A)",5900,4985
707,534,308,"16100",1816,"Oberon (A)",75,193
5523,5367,1599,"16150",14253,"Orange (C)",1039,718
1821,1831,665,"16200",5101,"Parkes (A)",392,382
25022,31749,6386,"16260",74238,"Parramatta (C)",8161,2908
23700,19825,8680,"16350",61766,"Penrith (C)",3916,5641
17644,27032,4424,"25250",59541,"Moreland (C)",8418,2017
2948,4872,801,"11300",11585,"Burwood (A)",2534,430
4503,4381,1300,"11350",11264,"Byron (A)",449,625
1817,1150,831,"11400",4527,"Cabonne (A)",164,561
10890,5423,4098,"11450",23577,"Camden (A)",569,2606
17344,17836,6025,"11500",48395,"Campbelltown (C) (NSW)",3849,3345
10621,13990,2469,"11520",31541,"Canada Bay (A)",3324,1141
33949,40331,11388,"11570",104090,"Canterbury-Bankstown (A)",12363,6062
347,295,162,"11600",960,"Carrathool (A)",45,104
42632,44795,13763,"11650",117140,"Central Coast (C) (NSW)",8511,7441
132,236,52,"11700",591,"Central Darling (A)",98,66
7174,6398,2598,"11720",18644,"Cessnock (C)",1010,1470
7063,8043,2235,"11730",19564,"Clarence Valley (A)",1183,1039
638,584,219,"11750",1661,"Cobar (A)",122,95
10000,10654,2892,"11800",26658,"Coffs Harbour (C)",1696,1409
511,449,254,"12000",1416,"Coolamon (A)",52,156
423,488,180,"12150",1329,"Coonamble (A)",131,97
1738,1719,561,"12350",4685,"Cowra (A)",317,349
19840,24544,6340,"12380",61976,"Cumberland (A)",7633,3622
1294,902,537,"12700",3183,"Dungog (A)",87,361
1256,1165,409,"12730",3260,"Edward River (A)",227,199
5450,6297,1568,"12750",14749,"Eurobodalla (A)",775,662
17877,18668,7988,"12850",55104,"Fairfield (C)",6007,4562
1796,1795,572,"12870",4693,"Federation (A)",234,292
1310,1131,489,"12900",3394,"Forbes (A)",205,265
15397,19529,4560,"12930",47546,"Georges River (A)",5713,2347
523,513,238,"12950",1518,"Gilgandra (A)",106,145
1103,1323,409,"13010",3320,"Glen Innes Severn (A)",265,218
3779,3708,1467,"13310",10588,"Goulburn Mulwaree (A)",816,814
1406,1062,620,"13340",3594,"Greater Hume Shire (A)",108,397
3252,2615,1162,"13450",8195,"Griffith (C)",501,667
1500,1604,519,"13510",4202,"Gundagai (A)",289,288
1651,1507,619,"13550",4359,"Gunnedah (A)",229,352
683,643,336,"13660",1958,"Gwydir (A)",113,180
7948,5550,3502,"13800",20768,"Hawkesbury (C)",839,2928
394,374,137,"13850",1055,"Hay (A)",72,86
11108,12420,3198,"16380",30094,"Port Macquarie-Hastings (A)",1891,1472
9527,9159,3161,"16400",24714,"Port Stephens (A)",1085,1784
7615,6331,2889,"16490",19585,"Queanbeyan-Palerang Regional (A)",842,1905
13588,21683,3091,"16550",48993,"Randwick (C)",9347,1284
3131,3288,950,"16610",8418,"Richmond Valley (A)",571,479
10741,16573,2925,"16650",36824,"Rockdale (C)",5198,1393
12834,17897,3315,"16700",40520,"Ryde (C)",4917,1557
8889,7557,3192,"16900",22904,"Shellharbour (C)",1289,1980
13746,15177,4128,"16950",37088,"Shoalhaven (C)",1925,2116
3089,2201,1257,"17000",7584,"Singleton (A)",293,742
2866,2761,1132,"17040",7826,"Snowy Monaro Regional (A)",418,642
2019,1800,747,"17080",5224,"Snowy Valleys (A)",277,386
21664,11241,8086,"17420",47182,"The Hills Shire (A)",1015,5176
12523,14417,3627,"17550",34549,"Tweed (A)",2209,1774
1926,1656,764,"17620",4976,"Upper Hunter Shire (A)",261,364
1132,774,488,"17640",2853,"Upper Lachlan Shire (A)",85,377
873,696,311,"17650",2205,"Uralla (A)",90,231
8509,7754,2740,"17750",21741,"Wagga Wagga (C)",1340,1398
443,334,200,"17850",1152,"Walcha (A)",50,126
677,953,268,"17900",2371,"Walgett (A)",317,151
367,321,143,"17950",962,"Warren (A)",60,74
1235,1192,463,"18020",3414,"Warrumbungle Shire (A)",232,293
6508,11518,1251,"18050",24559,"Waverley (A)",4854,433
514,455,204,"18100",1397,"Weddin (A)",86,140
993,734,332,"18200",2414,"Wentworth (A)",165,196
6439,6016,2277,"18230",17007,"Western Plains Regional (A)",1120,1157
7836,11766,1765,"18250",25863,"Willoughby (C)",3856,641
6842,6038,2385,"18350",17312,"Wingecarribee (A)",653,1388
5746,3060,2964,"18400",14668,"Wollondilly (A)",369,2532
25623,26541,8279,"18450",71536,"Wollongong (C)",6832,4268
6227,9507,1386,"18500",20702,"Woollahra (A)",2975,610
2227,1270,1075,"18710",5423,"Yass Valley (A)",150,695
82,130,39,"19399",341,"Unincorporated NSW",32,51
1826,1830,645,"20110",4906,"Alpine (S)",219,381
1475,1470,582,"20260",4177,"Ararat (RC)",289,352
14247,13945,4242,"20570",37221,"Ballarat (C)",2605,2187
17725,15691,4899,"20660",43493,"Banyule (C)",2752,2425
4901,5318,1369,"20740",12939,"Bass Coast (S)",752,599
6836,5293,2612,"20830",17079,"Baw Baw (S)",659,1681
14911,12083,3865,"20910",34432,"Bayside (C)",1861,1703
1988,1937,728,"21010",5403,"Benalla (RC)",339,417
22941,22230,6254,"21110",59055,"Boroondara (C)",4852,2779
22247,19657,8468,"21180",59143,"Brimbank (C)",4398,4371
822,791,338,"21270",2362,"Buloke (S)",141,269
5269,4193,1989,"21370",13363,"Campaspe (S)",678,1226
13014,8601,4688,"21450",30242,"Cardinia (S)",883,3059
40418,24443,13936,"21610",89570,"Casey (C)",2907,7859
1829,1984,634,"21670",5217,"Central Goldfields (S)",375,389
2897,2763,1065,"21750",7779,"Colac-Otway (S)",435,620
2167,1788,912,"21830",5825,"Corangamite (S)",272,677
16280,23971,3967,"21890",53151,"Darebin (C)",7162,1768
6653,6097,2221,"22110",16950,"East Gippsland (S)",842,1137
19286,17131,5685,"22170",48091,"Frankston (C)",2999,2982
1517,1307,609,"22250",4045,"Gannawarra (S)",210,406
8388,7382,3014,"22830",21784,"Greater Shepparton (C)",1301,1710
2231,1965,849,"22910",5844,"Hepburn (S)",252,544
774,721,342,"22980",2232,"Hindmarsh (S)",126,267
11994,12482,3147,"23110",31651,"Hobsons Bay (C)",2504,1519
2818,2585,1008,"23190",7497,"Horsham (RC)",491,602
23848,17909,8619,"23270",58285,"Hume (C)",2881,5025
2340,1629,985,"23350",5771,"Indigo (S)",189,628
22023,20397,5880,"23430",54718,"Kingston (C) (Vic.)",3668,2745
22537,15499,8002,"23670",52512,"Knox (C)",2047,4438
9894,9963,3352,"23810",27118,"Latrobe (C) (Vic.)",2093,1818
994,857,459,"23940",2856,"Loddon (S)",132,406
6666,3840,2709,"24130",15409,"Macedon Ranges (S)",405,1785
16862,11797,5712,"24210",39307,"Manningham (C)",1647,3295
1239,1030,480,"24250",3151,"Mansfield (S)",116,290
9189,13433,1996,"24330",29706,"Maribyrnong (C)",4294,792
16294,13468,4796,"24410",39080,"Maroondah (C)",1934,2583
6213,21704,911,"24600",57290,"Melbourne (C)",28135,325
18425,11498,5952,"24650",40442,"Melton (C)",1354,3218
7151,6705,2491,"24780",19188,"Mildura (RC)",1354,1482
