indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_ttl_nm, number_businesses_30_june_of_non_employing_num, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, number_businesses_30_june_of_employing_20_employees_num, lga_name_2019, yr, lga_code_2019, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, number_businesses_30_june_of_employing_5_19_employees_num, number_businesses_30_june_of_employing_1_4_employees_num
null,2738,220000.0,125,"Albury (C)",2019,"10050",347000.0,562,1190
null,1838,242500.0,50,"Armidale Regional (A)",2019,"10130",347500.0,299,757
null,2804,508000.0,84,"Ballina (A)",2019,"10250",662500.0,443,1226
null,195,null,3,"Balranald (A)",2019,"10300",180000.0,40,93
null,2125,310000.0,84,"Bathurst Regional (A)",2019,"10470",442250.0,399,948
null,10849,700000.0,392,"Bayside (A)",2019,"10500",1200000.0,1238,4458
null,1709,331250.0,50,"Bega Valley (A)",2019,"10550",500000.0,364,984
null,757,319500.0,12,"Bellingen (A)",2019,"10600",525000.0,119,319
null,522,195000.0,20,"Berrigan (A)",2019,"10650",230000.0,79,240
null,15331,554000.0,587,"Blacktown (C)",2019,"10750",717500.0,1837,7253
null,472,260000.0,3,"Bland (A)",2019,"10800",166500.0,93,242
null,525,null,14,"Blayney (A)",2019,"10850",320000.0,45,226
null,3311,565000.0,78,"Blue Mountains (C)",2019,"10900",654000.0,466,1765
null,265,null,13,"Bogan (A)",2019,"10950",111250.0,41,90
null,219,null,4,"Bourke (A)",2019,"11150",174000.0,30,75
null,55,null,3,"Brewarrina (A)",2019,"11200",67500.0,7,26
null,3105,758500.0,107,"Byron (A)",2019,"11350",950000.0,484,1233
null,1140,null,26,"Cabonne (A)",2019,"11400",285000.0,157,469
null,524,null,42,"Broken Hill (C)",2019,"11250",120000.0,137,306
null,4052,585000.0,175,"Camden (A)",2019,"11450",700000.0,727,2607
null,6051,430000.0,252,"Campbelltown (C) (NSW)",2019,"11500",595000.0,845,3046
null,7237,880000.0,191,"Canada Bay (A)",2019,"11520",1760000.0,777,3159
null,22641,550000.0,575,"Canterbury-Bankstown (A)",2019,"11570",890000.0,2488,10909
null,218,null,10,"Carrathool (A)",2019,"11600",175000.0,52,143
null,3212,762500.0,74,"Burwood (A)",2019,"11300",1500000.0,372,1431
null,3,null,null,"Kowanyama (S)",2019,"34420",null,null,3
null,13397,503000.0,540,"Central Coast (C) (NSW)",2019,"11650",637000.0,2354,7905
null,94,null,null,"Central Darling (A)",2019,"11700",63750.0,11,39
null,1655,290000.0,92,"Cessnock (C)",2019,"11720",390000.0,356,904
null,2499,348750.0,81,"Clarence Valley (A)",2019,"11730",390000.0,381,959
null,282,null,10,"Cobar (A)",2019,"11750",197500.0,53,109
null,3333,355000.0,165,"Coffs Harbour (C)",2019,"11800",545000.0,693,1837
null,183,null,4,"Coolamon (A)",2019,"12000",205000.0,40,105
null,363,null,4,"Coonamble (A)",2019,"12150",85000.0,58,153
null,687,190000.0,19,"Cootamundra-Gundagai Regional (A)",2019,"12160",252500.0,131,307
null,784,255000.0,23,"Cowra (A)",2019,"12350",269000.0,145,387
null,15048,565000.0,415,"Cumberland (A)",2019,"12380",800000.0,1429,6837
null,3135,260000.0,127,"Dubbo Regional (A)",2019,"12390",360000.0,567,1371
null,714,null,13,"Dungog (A)",2019,"12700",500000.0,79,252
null,609,160000.0,28,"Edward River (A)",2019,"12730",216500.0,96,262
null,1642,335000.0,60,"Eurobodalla (A)",2019,"12750",500000.0,333,875
null,8834,436250.0,324,"Fairfield (C)",2019,"12850",730000.0,1376,5717
null,756,197000.0,34,"Federation (A)",2019,"12870",260000.0,124,296
null,697,206000.0,18,"Forbes (A)",2019,"12900",268750.0,121,300
null,10235,670000.0,242,"Georges River (A)",2019,"12930",1234944.0,1130,4683
null,351,null,3,"Gilgandra (A)",2019,"12950",171000.0,57,167
null,697,200000.0,8,"Glen Innes Severn (A)",2019,"13010",209000.0,113,275
null,1346,372500.0,46,"Goulburn Mulwaree (A)",2019,"13310",427000.0,260,694
null,857,null,16,"Greater Hume Shire (A)",2019,"13340",215000.0,143,343
null,2093,305000.0,98,"Griffith (C)",2019,"13450",360000.0,305,813
null,1047,287500.0,25,"Gunnedah (A)",2019,"13550",315000.0,125,361
null,509,null,4,"Gwydir (A)",2019,"13660",204500.0,57,193
null,3760,495000.0,148,"Hawkesbury (C)",2019,"13800",740000.0,748,2459
null,207,null,10,"Hay (A)",2019,"13850",129000.0,45,123
null,1230,249100.0,61,"Hilltops (A)",2019,"13910",252500.0,245,584
null,8637,665000.0,252,"Hornsby (A)",2019,"14000",1180000.0,1060,4319
null,1330,1037500.0,30,"Hunters Hill (A)",2019,"14100",2600000.0,138,501
null,12684,740000.0,456,"Inner West (A)",2019,"14170",1400000.0,1667,5599
null,1086,290000.0,24,"Inverell (A)",2019,"14200",255000.0,164,432
null,292,null,4,"Junee (A)",2019,"14300",237500.0,44,145
null,1463,377500.0,47,"Kempsey (A)",2019,"14350",350000.0,203,532
null,1139,642750.0,27,"Kiama (A)",2019,"14400",860000.0,172,624
null,9537,933000.0,185,"Ku-ring-gai (A)",2019,"14500",2001000.0,877,4314
null,852,null,9,"Kyogle (A)",2019,"14550",330000.0,59,212
null,572,null,14,"Lachlan (A)",2019,"14600",160000.0,100,237
