iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,2021/1/1,28460,35,23.286,909,0,0.143,1103.605,1.357,0.903,35.249,0,0.006,1.07,0,0,25,0.969,,,,,11316982,56346,438.843,2.185,43764,1.697,0.0005,1879.4,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/2,28484,24,25.143,909,0,0.143,1104.535,0.931,0.975,35.249,0,0.006,1.02,0,0,26,1.008,,,,,11377594,60612,441.194,2.35,45156,1.751,0.0006,1796,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/3,28504,20,23.857,909,0,0,1105.311,0.776,0.925,35.249,0,0,0.96,0,0,26,1.008,,,,,11428730,51136,443.176,1.983,47422,1.839,0.0005,1987.8,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-8631.4,-5.09,-1.59,-334.7032484
AUS,Oceania,Australia,2021/1/4,28517,13,24,909,0,0,1105.815,0.504,0.931,35.249,0,0,0.92,0,0,32,1.241,,,,,11505997,77267,446.173,2.996,54256,2.104,0.0004,2260.7,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/5,28536,19,22.143,909,0,0,1106.552,0.737,0.859,35.249,0,0,0.89,0,0,36,1.396,,,,,11590672,84675,449.456,3.283,60737,2.355,0.0004,2742.9,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/6,28546,10,20.143,909,0,0,1106.94,0.388,0.781,35.249,0,0,0.87,0,0,38,1.474,,,,,11691946,101274,453.383,3.927,69446,2.693,0.0003,3447.6,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/7,28571,25,20.857,909,0,0,1107.909,0.969,0.809,35.249,0,0,0.88,0,0,41,1.59,,,,,11779835,87889,456.791,3.408,74171,2.876,0.0003,3556.2,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/8,28582,11,17.429,909,0,0,1108.336,0.427,0.676,35.249,0,0,0.85,0,0,40,1.551,,,,,11852383,72548,459.605,2.813,76486,2.966,0.0002,4388.4,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/9,28595,13,15.857,909,0,0,1108.84,0.504,0.615,35.249,0,0,0.85,0,0,41,1.59,,,,,11928140,75757,462.542,2.938,78649,3.05,0.0002,4959.9,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2021/1/10,28614,19,15.714,909,0,0,1109.577,0.737,0.609,35.249,0,0,0.86,0,0,45,1.745,,,,,12004467,76327,465.502,2.96,82248,3.189,0.0002,5234.1,tests performed,,,,,,,,,,,,,,70.83,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-8711.8,-5.05,-2.67,-337.8209513
