fid, lbr_frc_stat, p, sa4_code_2016, sa4_name_2016, state_name_abbr
2,"Employed Part-Time",50400,"102","Central Coast","NSW"
6,"Employed Part-Time",38700,"115","Sydney - Baulkham Hills and Hawkesbury","NSW"
10,"Employed Part-Time",48100,"116","Sydney - Blacktown","NSW"
14,"Employed Part-Time",61100,"117","Sydney - City and Inner South","NSW"
18,"Employed Part-Time",44600,"118","Sydney - Eastern Suburbs","NSW"
22,"Employed Part-Time",87500,"119","Sydney - Inner South West","NSW"
26,"Employed Part-Time",51200,"120","Sydney - Inner West","NSW"
30,"Employed Part-Time",67000,"121","Sydney - North Sydney and Hornsby","NSW"
34,"Employed Part-Time",45600,"122","Sydney - Northern Beaches","NSW"
38,"Employed Part-Time",36600,"123","Sydney - Outer South West","NSW"
42,"Employed Part-Time",46300,"124","Sydney - Outer West and Blue Mountains","NSW"
46,"Employed Part-Time",67100,"125","Sydney - Parramatta","NSW"
50,"Employed Part-Time",31700,"126","Sydney - Ryde","NSW"
54,"Employed Part-Time",56300,"127","Sydney - South West","NSW"
58,"Employed Part-Time",37100,"128","Sydney - Sutherland","NSW"
62,"Employed Part-Time",31900,"101","Capital Region","NSW"
66,"Employed Part-Time",33800,"103","Central West","NSW"
70,"Employed Part-Time",24600,"104","Coffs Harbour - Grafton","NSW"
74,"Employed Part-Time",13600,"105","Far West and Orana","NSW"
78,"Employed Part-Time",42000,"106","Hunter Valley exc Newcastle","NSW"
82,"Employed Part-Time",54100,"107","Illawarra","NSW"
86,"Employed Part-Time",36000,"108","Mid North Coast","NSW"
90,"Employed Part-Time",15900,"109","Murray","NSW"
94,"Employed Part-Time",27000,"110","New England and North West","NSW"
98,"Employed Part-Time",64200,"111","Newcastle and Lake Macquarie","NSW"
102,"Employed Part-Time",49100,"112","Richmond - Tweed","NSW"
106,"Employed Part-Time",24600,"113","Riverina","NSW"
110,"Employed Part-Time",27700,"114","Southern Highlands and Shoalhaven","NSW"
114,"Employed Part-Time",115200,"206","Melbourne - Inner","VIC"
118,"Employed Part-Time",71700,"207","Melbourne - Inner East","VIC"
122,"Employed Part-Time",77700,"208","Melbourne - Inner South","VIC"
126,"Employed Part-Time",87900,"209","Melbourne - North East","VIC"
130,"Employed Part-Time",67000,"210","Melbourne - North West","VIC"
134,"Employed Part-Time",87800,"211","Melbourne - Outer East","VIC"
138,"Employed Part-Time",133900,"212","Melbourne - South East","VIC"
142,"Employed Part-Time",123700,"213","Melbourne - West","VIC"
146,"Employed Part-Time",50400,"214","Mornington Peninsula","VIC"
150,"Employed Part-Time",28100,"201","Ballarat","VIC"
154,"Employed Part-Time",30700,"202","Bendigo","VIC"
158,"Employed Part-Time",64100,"203","Geelong","VIC"
162,"Employed Part-Time",32600,"204","Hume","VIC"
166,"Employed Part-Time",54000,"205","Latrobe - Gippsland","VIC"
170,"Employed Part-Time",22200,"215","North West","VIC"
174,"Employed Part-Time",20600,"216","Shepparton","VIC"
178,"Employed Part-Time",22800,"217","Warrnambool and South West","VIC"
182,"Employed Part-Time",34800,"301","Brisbane - East","QLD"
186,"Employed Part-Time",40200,"302","Brisbane - North","QLD"
190,"Employed Part-Time",70700,"303","Brisbane - South","QLD"
194,"Employed Part-Time",30500,"304","Brisbane - West","QLD"
198,"Employed Part-Time",57100,"305","Brisbane Inner City","QLD"
202,"Employed Part-Time",51700,"310","Ipswich","QLD"
206,"Employed Part-Time",49700,"311","Logan - Beaudesert","QLD"
210,"Employed Part-Time",34100,"313","Moreton Bay - North","QLD"
214,"Employed Part-Time",39000,"314","Moreton Bay - South","QLD"
218,"Employed Part-Time",39800,"306","Cairns","QLD"
222,"Employed Part-Time",19800,"307","Darling Downs - Maranoa","QLD"
226,"Employed Part-Time",38100,"308","Central Queensland","QLD"
230,"Employed Part-Time",131600,"309","Gold Coast","QLD"
234,"Employed Part-Time",24100,"312","Mackay - Isaac - Whitsunday","QLD"
238,"Employed Part-Time",6100,"315","Queensland - Outback","QLD"
242,"Employed Part-Time",69700,"316","Sunshine Coast","QLD"
246,"Employed Part-Time",21600,"317","Toowoomba","QLD"
250,"Employed Part-Time",38600,"318","Townsville","QLD"
254,"Employed Part-Time",38700,"319","Wide Bay","QLD"
258,"Employed Part-Time",57300,"401","Adelaide - Central and Hills","SA"
262,"Employed Part-Time",70600,"402","Adelaide - North","SA"
266,"Employed Part-Time",69300,"403","Adelaide - South","SA"
270,"Employed Part-Time",42500,"404","Adelaide - West","SA"
274,"Employed Part-Time",19400,"405","Barossa - Yorke - Mid North","SA"
278,"Employed Part-Time",13600,"406","South Australia - Outback","SA"
282,"Employed Part-Time",31400,"407","South Australia - South East","SA"
286,"Employed Part-Time",15300,"502","Mandurah","WA"
290,"Employed Part-Time",34900,"503","Perth - Inner","WA"
294,"Employed Part-Time",48700,"504","Perth - North East","WA"
298,"Employed Part-Time",102300,"505","Perth - North West","WA"
302,"Employed Part-Time",96500,"506","Perth - South East","WA"
306,"Employed Part-Time",83700,"507","Perth - South West","WA"
310,"Employed Part-Time",32200,"501","Bunbury","WA"
314,"Employed Part-Time",22400,"509","Western Australia - Wheat Belt","WA"
318,"Employed Part-Time",47000,"601","Hobart","TAS"
322,"Employed Part-Time",26700,"602","Launceston and North East","TAS"
326,"Employed Part-Time",6800,"603","South East","TAS"
330,"Employed Part-Time",17900,"604","West and North West","TAS"
334,"Employed Part-Time",19000,"701","Darwin","NT"
338,"Employed Part-Time",11900,"702","Northern Territory - Outback","NT"
